log M_BH,N_hsc,Phi_hsc,Phi_hsc_err,N_sdss,Phi_sdss,Phi_sdss_err,N_tot,Phi_tot,Phi_tot_err
7.20,0,0.00e+00,0.00e+00,0,0.00e+00,0.00e+00,0,0.00e+00,0.00e+00
7.50,5,1.21e-06,8.70e-07,0,0.00e+00,0.00e+00,5,1.21e-06,8.70e-07
7.80,4,9.92e-07,6.24e-07,0,0.00e+00,0.00e+00,4,9.92e-07,6.24e-07
8.10,9,1.13e-06,4.34e-07,6,3.88e-10,1.58e-10,15,1.13e-06,4.34e-07
8.40,16,1.39e-06,3.68e-07,45,2.91e-09,4.34e-10,61,1.39e-06,3.68e-07
8.70,8,7.99e-07,2.87e-07,112,7.24e-09,6.84e-10,120,8.07e-07,2.87e-07
9.00,7,4.34e-07,1.89e-07,191,1.23e-08,8.93e-10,198,4.46e-07,1.89e-07
9.30,1,2.79e-08,2.79e-08,333,2.15e-08,1.18e-09,334,4.94e-08,2.79e-08
9.60,2,1.36e-07,1.08e-07,392,2.53e-08,1.28e-09,394,1.61e-07,1.08e-07
9.90,0,0.00e+00,0.00e+00,295,1.91e-08,1.11e-09,295,1.91e-08,1.11e-09
10.20,0,0.00e+00,0.00e+00,67,4.33e-09,5.29e-10,67,4.33e-09,5.29e-10
10.50,0,0.00e+00,0.00e+00,20,1.29e-09,2.89e-10,20,1.29e-09,2.89e-10
10.80,0,0.00e+00,0.00e+00,1,6.46e-11,6.46e-11,1,6.46e-11,6.46e-11
