log Edd,N_hsc,Phi_hsc,Phi_hsc_err,N_sdss,Phi_sdss,Phi_sdss_err,N_tot,Phi_tot,Phi_tot_err
-2.00,0,0.00e+00,0.00e+00,0,0.00e+00,0.00e+00,0,0.00e+00,0.00e+00
-1.70,0,0.00e+00,0.00e+00,5,3.23e-10,1.45e-10,5,3.23e-10,1.45e-10
-1.40,1,1.03e-07,1.03e-07,18,1.16e-09,2.74e-10,19,1.04e-07,1.03e-07
-1.10,4,2.93e-07,1.56e-07,111,7.17e-09,6.81e-10,115,3.00e-07,1.56e-07
-0.80,6,5.91e-07,2.71e-07,350,2.26e-08,1.21e-09,356,6.14e-07,2.71e-07
-0.50,19,2.19e-06,7.13e-07,450,2.91e-08,1.37e-09,469,2.22e-06,7.13e-07
-0.20,16,2.41e-06,9.67e-07,270,1.74e-08,1.06e-09,286,2.42e-06,9.67e-07
0.10,4,3.64e-07,1.86e-07,170,1.10e-08,8.43e-10,174,3.75e-07,1.86e-07
0.40,2,1.71e-07,1.22e-07,71,4.59e-09,5.45e-10,73,1.75e-07,1.22e-07
0.70,0,0.00e+00,0.00e+00,17,1.10e-09,2.66e-10,17,1.10e-09,2.66e-10
1.00,0,0.00e+00,0.00e+00,0,0.00e+00,0.00e+00,0,0.00e+00,0.00e+00
