log M_BH,Phi_tot,Phi_tot_err_low,Phi_tot_err_up
7.50,9.40e-06,2.17e-06,2.74e-05
7.60,7.54e-06,1.90e-06,2.14e-05
7.70,6.05e-06,1.67e-06,1.66e-05
7.80,4.85e-06,1.45e-06,1.26e-05
7.90,3.90e-06,1.26e-06,9.79e-06
8.00,3.13e-06,1.09e-06,7.59e-06
8.10,2.51e-06,9.44e-07,5.89e-06
8.20,2.01e-06,8.13e-07,4.56e-06
8.30,1.61e-06,6.99e-07,3.53e-06
8.40,1.30e-06,5.99e-07,2.73e-06
8.50,1.04e-06,5.07e-07,2.11e-06
8.60,8.34e-07,4.29e-07,1.63e-06
8.70,6.69e-07,3.62e-07,1.26e-06
8.80,5.37e-07,3.05e-07,9.70e-07
8.90,4.31e-07,2.57e-07,7.47e-07
9.00,3.46e-07,2.16e-07,5.74e-07
9.10,2.77e-07,1.82e-07,4.41e-07
9.20,2.23e-07,1.52e-07,3.38e-07
9.30,1.79e-07,1.28e-07,2.59e-07
9.40,1.43e-07,1.10e-07,1.98e-07
9.50,1.15e-07,9.20e-08,1.50e-07
9.60,9.13e-08,7.27e-08,1.19e-07
9.70,7.19e-08,5.69e-08,9.31e-08
9.80,5.49e-08,4.59e-08,6.77e-08
9.90,3.89e-08,3.49e-08,4.57e-08
10.00,2.37e-08,2.17e-08,2.67e-08
10.10,1.15e-08,1.04e-08,1.33e-08
10.20,4.45e-09,3.67e-09,5.24e-09
10.30,1.47e-09,8.47e-10,2.13e-09
10.40,4.48e-10,1.76e-10,8.24e-10
10.50,1.32e-10,3.57e-11,3.09e-10
10.60,3.85e-11,7.17e-12,1.14e-10
10.70,1.12e-11,1.44e-12,4.18e-11
10.80,3.24e-12,2.87e-13,1.53e-11
10.90,9.36e-13,5.75e-14,5.58e-12
11.00,2.71e-13,1.15e-14,2.03e-12
